ASIN;SKU;OTTOKOD;DETAY;DESİ-KG;;INVOICE ÜRÜN BEDELİ;US FEDEX KARGO ÜCRETİ;FEDEX İŞLEM ÜCRETİ;DUTY OTAN;DUTY;VERGİ ORANI;VERGİ
B07T7P93BG;OT-GeLetWineCarrier-Black;6033-Siyah;Şaraplık;1;;3,53;9,54;1,12;0;0,00;15,0;0,53
B08XW7FTGH;OT-PuLet-XLmousepad-White;6035-Beyaz;Geniş Mouse Pad-Suni Deri;0,5;;1,50;9,27;1,12;0;0,00;15,0;0,22
B08FCWYVGL;OT-PuLet-XLmousepad-Gray;6035-Gri;Geniş Mouse Pad-Suni Deri;0,5;;1,23;9,27;1,12;0;0,00;15,0;0,18
B07PVC5ZVL;OT-PuLet-XLmousepad-Brown;6035-Kahverengi;Geniş Mouse Pad-Suni Deri;0,5;;1,23;9,27;1,12;0;0,00;15,0;0,18
B08XW83D58;OT-PuLet-XLmousepad-Red;6035-Kırmızı;Geniş Mouse Pad-Suni Deri;0,5;;1,50;9,27;1,12;0;0,00;15,0;0,22
B07PVC5BWS;OT-PuLet-XLmousepad-Black;6035-Siyah;Geniş Mouse Pad-Suni Deri;0,5;;1,23;9,27;1,12;0;0,00;15,0;0,18
B07PW8XP13;OT-PuLet-XLmousepad-LightBrown;6035-Taba;Geniş Mouse Pad-Suni Deri;0,5;;1,23;9,27;1,12;0;0,00;15,0;0,18
B07PTRH77Z;OT-GeLet-Airpods-Brown;6037-Kahverengi;Airpod Kılıf-Soho;0,5;;2,24;9,27;1,12;4,5;0,10;15,0;0,34
B07PTSQZNM;OT-GeLet-Airpods-Blue;6037-Mavi;Airpod Kılıf-Crazy;0,5;;2,24;9,27;1,12;4,5;0,10;15,0;0,34
B07PTTG7KT;OT-GeLet-Airpods-Black;6037-Siyah;Airpod Kılıf-Vejıtal;0,5;;2,24;9,27;1,12;4,5;0,10;15,0;0,34
B07R5W3Q6Y;OT-GeLetPenCase-Rtr-Camel;6039-Camel;Retro Kalemlik;0,5;;1,23;9,27;1,12;12,5;0,15;15,0;0,18
B07R516MQB;OT-GeLetPenCase-Rtr-Red;6039-Kırmızı;Retro Kalemlik;0,5;;1,23;9,27;1,12;12,5;0,15;15,0;0,18
B07R4Y3F8T;OT-GeLetPenCase-Rtr-Green;6039-Oliv;Retro Kalemlik;0,5;;1,23;9,27;1,12;12,5;0,15;15,0;0,18
B07R51FX23;OT-GeLetPenCase-Rtr-Mink;6039-Taba;Retro Kalemlik;0,5;;1,23;9,27;1,12;12,5;0,15;15,0;0,18
B07QBCR8L3;OT-GeLeatherTrayOrganizer-Camel;6040-Camel;ORGANİZER DERİ-TIGER;0,5;;1,66;9,27;1,12;20;0,33;15,0;0,25
B07QGKC8Q8;OT-GeLeatherTrayOrganizer-Red;6040-Kırmızı;ORGANİZER DERİ-TIGER;0,5;;1,66;9,27;1,12;20;0,33;15,0;0,25
B07QBCR2QJ;OT-GeLeatherTrayOrganizer-Green;6040-Oliv;ORGANİZER DERİ-TIGER;0,5;;1,66;9,27;1,12;20;0,33;15,0;0,25
B07QCCFYHP;OT-GeLeatherTrayOrganizer-Mink;6040-Taba;ORGANİZER DERİ-TIGER;0,5;;1,66;9,27;1,12;20;0,33;15,0;0,25
B07TC7J2NT;OT-GeLetWineCarrier-Camel;6041-Camel;Şaraplık;1;;3,53;9,54;1,12;0;0,00;15,0;0,53
B07TC8P3BM;OT-GeLetWineCarrier-Red;6041-Kırmızı;Şaraplık;1;;3,53;9,54;1,12;0;0,00;15,0;0,53
B07T7PBNDY;OT-GeLetWineCarrier-Green;6041-Oliv;Şaraplık;1;;3,53;9,54;1,12;0;0,00;15,0;0,53
B07T7PBF2N;OT-GeLetWineCarrier-Cinnamon;6041-Taba;Şaraplık;1;;3,53;9,54;1,12;0;0,00;15,0;0,53
B07R5SQMBV;OT-GeLetPenCase-Snp-Camel;6042-Camel;Çivili Kalemlik-TİGER DERİ;0,5;;2,75;9,27;1,12;9,5;0,26;15,0;0,41
B07RB5B8QJ;OT-GeLetPenCase-Snp-Red;6042-Kırmızı;Çivili Kalemlik-TİGER DERİ;0,5;;2,75;9,27;1,12;9,5;0,26;15,0;0,41
B07R5SQMBW;OT-GeLetPenCase-Snp-Green;6042-Oliv;Çivili Kalemlik-TİGER DERİ;0,5;;2,75;9,27;1,12;9,5;0,26;15,0;0,41
B07RBTDFX7;OT-GeLetPenCase-Snp-Mink;6042-Taba;Çivili Kalemlik-TİGER DERİ;0,5;;2,75;9,27;1,12;9,5;0,26;15,0;0,41
B07SV3Z2HW;OT-GeLetGlassesCase-Camel;6044-Camel;Çivili Gözlük Kılıfı-Tiger Deri;0,5;;2,55;9,27;1,12;0;0,00;15,0;0,38
B07SV42HG7;OT-GeLetGlassesCase-Red;6044-Kırmızı;Çivili Gözlük Kılıfı-Tiger Deri;0,5;;2,55;9,27;1,12;0;0,00;15,0;0,38
B07SX9NKCK;OT-GeLetGlassesCase-Green;6044-Oliv;Çivili Gözlük Kılıfı-Tiger Deri;0,5;;2,55;9,27;1,12;0;0,00;15,0;0,38
B07SX91386;OT-GeLetGlassesCase-Cinnamon;6044-Taba;Çivili Gözlük Kılıfı-Tiger Deri;0,5;;2,55;9,27;1,12;0;0,00;15,0;0,38
B07SX9QY9G;OT-GeLetGlassesCase-Black;6045-Siyah;Çivili Gözlük Kılıfı-Soho;0,5;;2,68;9,27;1,12;0;0,00;15,0;0,40
